Cell Number,motif,motif.1,motif.2,motif.3,motif.4,Nalm 6 Cytotoxicity,IL7RaKLRG1 stemness
6757,10,7,2,17,0,0.392718366,22.5
4618,11,8,2,17,0,0.482317543,16.9
3365,2,8,3,17,0,0.751084836,12.4
3820,9,7,2,17,0,0.257351941,15.4
3161,6,8,8,3,17,0.744553138,13.5
15015,9,10,10,17,0,0.443913576,23.8
15065,1,8,7,17,0,0.856952781,16.4
4001,11,8,6,17,0,0.60286669,19.9
510,2,13,12,17,0,1.0129122,10.5
776,11,5,11,17,0,0.949500295,27.5
8837,6,11,11,17,0,0.476632547,18
3420,12,4,11,17,0,0.631095118,15.4
546,2,2,8,17,0,0.933896793,11.4
4481,6,8,8,17,0,0.542085608,12
1388,10,10,7,10,17,0.379791046,33.3
2746,12,9,10,17,0,0.207063911,29.5
1485,1,12,11,17,0,0.970879511,14.9
1310,8,8,8,17,0,0.891954822,20.1
2886,10,6,6,17,0,0.833532409,21.4
6955,10,9,2,17,0,0.281770211,30.3
78,1,8,6,17,0,1.001799241,32.1
586,9,1,9,17,0,0.867899424,33.5
4326,8,12,7,17,0,0.57057107,13.2
4596,2,9,9,17,0,0.501882399,28.3
2782,12,9,2,17,0,0.303648377,18.4
2049,8,8,3,17,0,0.786540468,19.4
1400,12,2,1,17,0,0.308486672,15.2
5799,1,9,17,0,0,0.395500386,22.9
585,8,9,3,17,0,0.742511982,12.1
3992,3,1,1,17,0,0.384463025,15.3
1026,11,8,4,17,0,0.683363825,11
718,9,10,10,17,0,0.410861973,26.2
4037,12,3,12,17,0,0.489620345,20
1263,8,6,2,17,0,0.85332406,14.9
2341,2,11,2,17,0,0.455434766,14
6623,10,17,0,0,0,0.37731142,12.5
2392,13,6,11,17,0,0.735012625,25.7
968,2,3,5,17,0,0.968808116,22.9
4278,11,11,9,10,17,0.093197659,44.3
4348,5,6,11,17,0,0.846127096,13.5
1301,13,2,6,17,0,0.934924931,14.6
2722,1,3,11,17,0,0.693509125,19.5
11758,11,9,10,17,0,0.375088828,39
1947,1,1,10,17,0,0.31179788,11.9
321,11,12,11,17,0,1.005654757,11.9
6335,10,1,7,17,0,0.423925369,15.6
2508,1,13,11,17,0,0.539076793,13.5
6328,12,9,10,17,0,0.269674473,21.3
540,11,6,2,17,0,1.070276236,10.6
2079,11,10,1,17,0,0.004702218,30.5
4760,8,2,5,17,0,0.959781672,28.4
12473,9,9,7,17,0,0.284461513,25.2
1118,1,12,6,17,0,0.906061477,14.2
5713,10,1,7,17,0,0.403287017,13.8
6717,10,10,9,17,0,0.2915224,42.5
2779,4,8,3,17,0,0.756346482,18.9
3136,1,10,2,17,0,0.836541224,46.2
2070,12,5,8,17,0,0.792739533,24.9
1931,1,1,9,17,0,0.430895538,13.1
2497,2,8,6,17,0,0.710957226,13.1
9618,10,10,10,17,0,0.661334462,27.9
4804,9,2,1,17,0,0.275692103,9.14
3405,13,2,5,17,0,0.910340344,34
628,10,6,11,17,0,0.820983081,12.1
828,1,12,6,17,0,0.984668652,8.99
3709,6,11,8,17,0,0.508610653,13
10767,5,6,6,17,0,0.855576891,22.4
2026,3,6,8,17,0,0.687582213,12.8
5371,6,8,8,3,17,0.764375028,22
1118,1,2,11,17,0,0.886284945,13.2
6623,11,9,2,17,0,0.353921287,25.1
2817,10,10,17,0,0,0.40684014,28.2
2780,8,6,3,17,0,0.761623248,17.1
2237,1,12,8,17,0,0.687763649,16.3
1574,3,8,10,17,0,0.704743041,18.7
1098,12,10,1,17,0,0.119596607,31.1
8242,12,17,0,0,0,0.430759461,10.2
6571,9,11,11,17,0,0.394714163,29
3385,7,7,3,17,0,0.781747532,15.5
5903,10,9,7,17,0,0.094951541,32.8
5152,7,1,12,17,0,0.503772358,10.6
2002,8,12,7,17,0,0.666384433,19.5
873,6,9,8,17,0,0.896006895,15.4
