Cell Number,motif,motif.1,motif.2,motif.3,motif.4,Nalm 6 Cytotoxicity,IL7RaKLRG1 stemness
2019,9,2,7,17,0,0.410196707,20.9
1685,5,17,0,0,0,0.808993181,18.5
4446,12,9,17,0,0,0.27120156,15.2
2814,12,11,3,17,0,0.565551339,18.9
2393,6,9,3,17,0,0.748484253,7.63
11301,1,7,10,17,0,0.266907573,27.3
3554,11,11,11,6,17,0.460378899,24.7
2842,8,7,3,17,0,0.55214019,10.8
1197,10,10,1,17,0,0.050363628,35.6
1595,11,10,9,17,0,0.112308925,38.8
7224,8,11,11,17,0,0.720754774,8.96
2150,2,17,0,0,0,0.551459804,7.34
3685,10,6,3,17,0,0.528674458,20.3
4078,8,9,2,17,0,0.473548133,24.1
608,4,1,12,17,0,0.664056003,9.86
1561,13,13,17,0,0,0.435491919,10.9
2885,4,4,17,0,0,0.350035531,8.98
8695,1,3,6,17,0,0.808463993,19
2814,8,2,11,17,0,0.691059738,15.1
1569,10,8,10,17,0,0.789806317,19
3205,8,12,8,17,0,0.520676152,13.4
1256,6,8,3,17,0,0.797335914,19.9
2748,8,3,2,17,0,0.708795113,24
1686,4,9,1,17,0,0.00231331,27.5
11650,13,10,9,17,0,0.30119899,36.7
